;NOMBRE_INSTITUCIÓN;CARÁCTER_ACADÉMICO;SECTOR;CÓDIGO_SNIES_DEL_PROGRAMA;CÓDIGO_ANTERIOR_ICFES;NOMBRE_DEL_PROGRAMA;ESTADO_PROGRAMA;RECONOCIMIENTO_DEL_MINISTERIO;CINE_F_2013_AC_CAMPO_AMPLIO;CINE_F_2013_AC_CAMPO_ESPECÍFIC;CINE_F_2013_AC_CAMPO_DETALLADO;ÁREA_DE_CONOCIMIENTO;NÚCLEO_BÁSICO_DEL_CONOCIMIENTO;NIVEL_ACADÉMICO;NIVEL_DE_FORMACIÓN;MODALIDAD;NÚMERO_CRÉDITOS;NÚMERO_PERIODOS_DE_DURACIÓN;DEPARTAMENTO_OFERTA_PROGRAMA;MUNICIPIO_OFERTA_PROGRAMA;SNIES;H2000-1;M2000-1;H2000-2;M2000-2;H2001-1;M2001-1;H2001-2;M2001-2;H2002-1;M2002-1;H2002-2;M2002-2;H2003-1;M2003-1;H2003-2;M2003-2;H2004-1;M2004-1;H2004-2;M2004-2;H2005-1;M2005-1;H2005-2;M2005-2;H2006-1;M2006-1;H2006-2;M2006-2;H2007-1;M2007-1;H2007-2;M2007-2;H2008-1;M2008-1;H2008-2;M2008-2;H2009-1;M2009-1;H2009-2;M2009-2;H2010-1;M2010-1;H2010-2;M2010-2;H2011-1;M2011-1;H2011-2;M2011-2;H2012-1;M2012-1;H2012-2;M2012-2;H2013-1;M2013-1;H2013-2;M2013-2;M2014-1;M2014-2;H2014-1;H2014-2;M2015-1;M2015-2;H2015-1;H2015-2;H2016-1;H2016-2;M2016-1;M2016-2;H2017-1;H2017-2;M2017-1;M2017-2;H2018-1;H2018-2;M2018-1;M2018-2;H2019-1;H2019-2;M2019-1;M2019-2;H2020-1;H2020-2;M2020-1;M2020-2;H2021-1;H2021-2;M2021-1;M2021-2;M2022-1;M2022-2;H2022-1;H2022-2;NOMBRE_DEL_PROGRAMA_DEPURADO
0;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;24;110146306201100111100;INGENIERIA AGRICOLA;Activo;Acreditación de alta calidad;Agropecuario, Silvicultura, Pesca y Veterinaria;Agropecuario;Producción agrícola y ganadera;Ingeniería, arquitectura, urbanismo y afines;Ingeniería agrícola, forestal y afines;Pregrado;Universitario;Presencial;180;10;Bogotá D.C.;Bogotá, D.C.;24;50;22;40;10;49;13;31;14;48;15;33;19;34;21;38;22;47;12;44;18;38;15;37;7;47;17;42;25;52;14;44;11;44;25;32;7;34;24;34;12;60;16;58;20;66;16;34;17;55;21;63;16;54;20;45;19;17;13;43;52;17;27;53;62;41;53;17;25;63;74;20;17;79;78;24;27;69;60;19;28;66;63;26;26;53;37;35;40;34;32;45;43;INGENIERIA AGRICOLA
1;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;1;110146303331100111100;INGENIERIA AGRONOMICA;Activo;Acreditación de alta calidad;Agropecuario, Silvicultura, Pesca y Veterinaria;Agropecuario;Producción agrícola y ganadera;Ingeniería, arquitectura, urbanismo y afines;Ingeniería agronómica, pecuaria y afines;Pregrado;Universitario;Presencial;180;10;Bogotá D.C.;Bogotá, D.C.;1;64;30;75;24;48;27;42;25;34;15;38;15;34;26;42;21;40;19;41;18;33;13;43;23;40;20;50;15;45;20;55;14;39;19;37;18;40;26;45;25;56;15;51;19;61;13;55;36;81;39;81;26;98;31;48;25;16;18;63;60;30;25;65;94;46;70;25;32;74;62;30;40;72;54;30;25;64;58;22;28;62;49;23;37;54;40;43;45;39;28;53;53;INGENIERIA AGRONOMICA
2;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;25;110146240001100111100;INGENIERIA CIVIL;Activo;Acreditación de alta calidad;Ingeniería, Industria y Construcción;Arquitectura y construcción;Construcción e ingeniería civil;Ingeniería, arquitectura, urbanismo y afines;Ingeniería civil y afines;Pregrado;Universitario;Presencial;180;10;Bogotá D.C.;Bogotá, D.C.;25;86;27;82;15;97;13;77;13;94;19;78;18;78;18;89;16;81;24;78;21;74;22;74;21;76;15;88;30;75;26;74;19;101;19;123;19;94;26;105;23;110;16;113;28;106;15;76;23;113;12;110;18;110;17;94;14;20;18;82;93;27;34;122;139;86;80;17;29;93;89;21;21;94;96;27;21;99;97;23;30;93;97;25;26;94;92;32;31;23;31;92;97;INGENIERIA CIVIL
4;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;106661;110140030001100111100;INGENIERIA DE SISTEMAS Y COMPUTACION;Activo;Acreditación de alta calidad;Tecnologías de la Información y la Comunicación (TIC);Programas y certificaciones interdisciplinarios relativos a tecnologías de la información y la comunicación (TIC);Programas y certificaciones interdisciplinarios relativos a tecnologías de la información y la comunicación (TIC);Ingeniería, arquitectura, urbanismo y afines;Ingeniería de sistemas, telemática y afines;Pregrado;Universitario;Presencial;0;10;Bogotá D.C.;Bogotá, D.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;INGENIERIA SISTEMAS Y COMPUTACION
5;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;27;110146210301100111100;INGENIERIA ELECTRICA;Activo;Acreditación de alta calidad;Ingeniería, Industria y Construcción;Ingeniería y profesiones afines;Electricidad y energía;Ingeniería, arquitectura, urbanismo y afines;Ingeniería eléctrica y afines;Pregrado;Universitario;Presencial;167;10;Bogotá D.C.;Bogotá, D.C.;27;67;6;49;7;48;6;38;8;45;8;31;20;35;3;32;7;42;8;40;7;47;5;36;7;33;3;27;5;47;4;38;0;48;1;51;7;39;7;44;14;48;6;75;6;76;4;57;8;63;13;60;4;60;3;61;3;10;3;64;60;11;7;70;86;53;52;7;4;48;51;7;6;51;50;5;4;52;52;6;12;66;53;4;8;68;51;7;14;9;7;54;55;INGENIERIA ELECTRICA
6;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;16941;110146210381100111100;INGENIERIA ELECTRONICA;Activo;Acreditación de alta calidad;Ingeniería, Industria y Construcción;Ingeniería y profesiones afines;Electrónica y automatización;Ingeniería, arquitectura, urbanismo y afines;Ingeniería electrónica, telecomunicaciones y afines;Pregrado;Universitario;Presencial;172;10;Bogotá D.C.;Bogotá, D.C.;16941;0;0;0;0;0;0;0;0;0;0;0;0;35;4;46;5;52;9;59;6;78;8;83;10;79;5;71;11;63;4;63;6;56;3;61;13;58;8;64;7;53;5;58;7;72;6;54;6;52;6;56;6;57;5;52;8;4;7;58;65;10;8;59;83;54;46;7;7;50;51;5;2;55;55;4;6;57;60;8;11;66;62;7;9;50;47;11;12;5;9;37;50;INGENIERIA ELECTRONICA
7;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;16940;110146700421100111100;INGENIERIA INDUSTRIAL;Activo;Acreditación de alta calidad;Ingeniería, Industria y Construcción;Industria y procesamiento;Industria y procesamiento no clasificados en otra parte;Ingeniería, arquitectura, urbanismo y afines;Ingeniería industrial y afines;Pregrado;Universitario;Presencial;168;10;Bogotá D.C.;Bogotá, D.C.;16940;0;0;0;0;0;0;0;0;0;0;0;0;29;10;33;11;36;12;35;10;35;12;25;21;31;8;37;10;33;6;33;10;29;11;37;10;37;13;33;18;42;11;44;18;47;17;42;17;48;18;52;14;51;9;41;12;14;9;27;36;8;22;51;64;33;35;13;15;29;39;16;12;41;35;9;10;40;39;14;14;37;41;12;18;38;34;25;21;20;18;15;32;INGENIERIA INDUSTRIAL
8;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;28;110146210001100111100;INGENIERIA MECANICA;Activo;Acreditación de alta calidad;Ingeniería, Industria y Construcción;Ingeniería y profesiones afines;Mecánica y profesiones afines a la metalistería;Ingeniería, arquitectura, urbanismo y afines;Ingeniería mecánica y afines;Pregrado;Universitario;Presencial;180;10;Bogotá D.C.;Bogotá, D.C.;28;96;10;103;3;108;10;75;9;85;2;83;14;94;4;88;4;63;10;84;6;74;8;67;7;58;6;75;1;66;4;71;1;57;3;71;3;76;5;62;5;70;6;81;4;74;6;79;8;74;3;70;8;85;5;69;6;9;6;62;82;8;14;88;93;65;67;9;5;69;70;6;8;76;66;5;10;82;78;7;10;74;79;10;3;59;60;12;12;12;5;51;69;INGENIERIA MECANICA
9;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;16939;110146290801100111100;INGENIERIA MECATRONICA;Activo;Acreditación de alta calidad;Ingeniería, Industria y Construcción;Ingeniería y profesiones afines;Electrónica y automatización;Ingeniería, arquitectura, urbanismo y afines;Ingeniería mecánica y afines;Pregrado;Universitario;Presencial;179;10;Bogotá D.C.;Bogotá, D.C.;16939;0;0;0;0;0;0;0;0;0;0;0;0;32;5;33;5;37;3;36;1;38;2;43;4;40;1;41;4;38;1;40;3;41;2;46;5;41;3;40;4;60;5;38;4;50;5;50;2;48;5;48;5;59;3;55;4;5;8;51;49;5;6;64;62;45;33;3;5;42;40;5;6;61;44;7;4;54;45;3;4;57;39;6;10;41;45;4;6;6;12;35;35;INGENIERIA MECATRONICA
10;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;29;110146600001100111100;INGENIERIA QUIMICA;Activo;Acreditación de alta calidad;Ingeniería, Industria y Construcción;Ingeniería y profesiones afines;Ingeniería y procesos químicos;Ingeniería, arquitectura, urbanismo y afines;Ingeniería química y afines;Pregrado;Universitario;Presencial;180;10;Bogotá D.C.;Bogotá, D.C.;29;56;28;69;37;75;41;60;39;71;29;49;33;53;25;58;23;59;35;60;35;60;33;49;42;48;25;63;32;60;28;56;32;67;35;66;61;76;49;60;56;100;34;85;51;92;41;77;51;90;33;75;44;83;43;82;23;30;48;89;77;57;75;85;113;69;66;39;37;83;72;41;50;90;67;40;42;69;80;46;60;72;69;51;64;73;56;43;65;47;57;57;64;INGENIERIA QUIMICA
